17.1	19.3
17.2	19.7
17.5	20.2
17.5	19.5
17.6	20.0
17.8	19.9
18.3	19.4
18.8	19.9
19.2	19.8
19.5	19.7
20.1	19.8
20.5	19.9
21.0	19.8
21.3	20.2
21.7	20.3
22.3	21.0
22.3	21.4
22.6	22.0
23.2	22.9
23.7	23.8
24.4	24.1
25.1	24.6
25.9	24.0
27.1	24.4
28.1	24.7
28.5	24.8
29.5	25.6
30.3	25.5
31.3	26.0
32.1	26.5
33.1	26.7
33.6	27.2
34.6	28.2
35.9	28.7
37.6	30.3
39.4	30.9
41.5	31.6
43.6	32.5
45.7	33.3
47.9	34.1
50.7	34.7
52.9	34.6
55.1	36.2
57.6	36.8
59.6	37.3
61.2	38.8
62.8	40.3
63.9	42.6
64.9	45.5
66.5	46.5
67.5	47.7
68.0	49.4
68.7	50.6
69.1	52.5
69.5	51.4
70.9	50.1
68.3	49.3
66.7	49.2
65.0	49.8
64.4	51.8
64.0	53.8
65.0	58.2
65.8	62.2
70.0	65.8
73.4	67.1
77.0	68.8
79.0	69.5
80.8	71.9
82.8	71.9
83.5	74.2
83.0	74.5
84.2	76.4
84.8	76.4
85.0	77.3
85.8	77.4
84.3	80.1
85.4	79.1
87.5	80.3
87.0	80.5
86.2	81.2
86.5	81.9
85.7	81.1
85.6	79.7
84.8	76.6
82.2	72.3
77.8	71.5
74.8	71.8
72.9	73.7
72.6	75.9
73.2	79.0
73.8	82.4
75.4	85.4
79.2	86.0
83.6	85.3
86.5	85.8
86.3	86.3
88.3	87.2
89.5	90.2
91.8	94.3
95.5	96.4
97.2	98.6
98.3	99.1
100.0	100.0
98.5	98.9
96.7	97.4
94.1	98.2
91.1	98.2
88.6	96.9
86.3	93.4
83.3	92.5
79.4	93.0
77.1	94.2
75.1	92.0
72.3	91.6
69.6	90.9
67.3	94.2
66.3	94.7
66.1	94.8
64.5	93.0
62.6	92.1
61.1	91.3
59.6	91.9
57.7	89.4
57.4	86.6
56.0	83.6
53.1	83.9
51.4	83.9
49.1	81.9
47.5	79.6
46.3	77.3
43.6	75.2
41.9	75.7
41.3	72.2
39.9	69.4
38.3	68.3
36.9	67.1
35.5	62.9
34.1	60.2
32.2	56.1
30.2	55.7
28.4	54.8
27.0	54.7
26.0	55.2
25.3	56.4
25.2	55.6
26.0	58.5
26.5	56.3
26.7	55.2
26.7	53.3
26.8	52.2
26.6	50.8
26.3	48.9
25.4	43.2
25.0	43.3
24.6	41.8
24.1	41.1
23.5	39.2
23.0	37.8
22.5	37.9
22.4	37.0
22.2	34.2
21.9	33.0
21.9	31.9
21.6	31.4
21.8	30.8
21.9	28.6
21.8	26.6
21.8	26.1
21.9	25.1
21.8	24.6
22.2	25.7
22.1	25.2
22.3	25.5
22.7	26.1
23.1	25.6
23.2	26.1
24.0	26.4
24.3	24.8
24.7	24.6
25.3	23.9
25.5	23.2
25.6	22.3
26.1	21.9
